Feature team	Prefix
Client	Tutorial_ShowAviFiles
Client	tutorial_ShowIcons
Client	tutorial_TableDescription
Client	tutorial_Tetris
Client	tutorial_Thread
Client	tutorial_Timer
Client	tutorial_XSL
Client	TutorialDefaultData
Client	TutorialDefData
Client	tutorialThread
Client	Unicode
Client	UseCaptionFromMenu
Client	UTC
Client	VirtualChannelManager
Client	WindowsBase
Client	WindowsPalette
Client	xInfo
Client	xMenuLabel
Client	xNavPane
Client	xTaskPane
Client	xToastNotification
Client	xUser
	
EP	*WebLet
EP	*Weblet
EP	Abc
EP	AxaptaCOMConnectorMonitor
EP	ConfirmationDialog
EP	DataSet
EP	DataSetQueryMiner
EP	DataSetRun
EP	Default
EP	DictDataSet
EP	DynamicPropertyCallback
EP	DynamicPropertyManager
EP	EnterprisePortal
EP	EntityMiniBase
EP	EP
EP	EPDocu
EP	EPGlobalMenu
EP	EPGlobalParameters
EP	FormBuildWeb
EP	FormWeb
EP	G360
EP	HTML
EP	IISApplicationObject
EP	IISContextObject
EP	IISPostedFile
EP	IISReadCookie
EP	IISRequest
EP	IISRequestDictionary
EP	IISResponse
EP	IISServer
EP	IISSessionObject
EP	IISStringList
EP	IISVariantDictionary
EP	IISViewState
EP	IISWriteCookie
EP	InteractionService
EP	MiniEntity 
EP	Page
EP	PageArgs
EP	PageInteraction
EP	PortalClass
EP	SearchParm
EP	SysASDI
EP	SysBC
EP	SysBDC
EP	SysBpCheckWeb
EP	SysBusinessConnector
EP	SysColor
EP	SysDeleteSelectedRecord
EP	SysDevelopmentProxy
EP	SysEncryption
EP	SysEP
EP	SysExpand
EP	SysHeading
EP	SysHTML
EP	SysImage
EP	SysInternet
EP	SysListPage
EP	SysPerimeter
EP	SysRolesList
EP	SysRoundedHead
EP	SysSearchCrawler
EP	SysSearchSetup
EP	SysSecEP
EP	SysSecEPAnalysisWebControlActionHdlr
EP	SysSelectEP
EP	SysSpecifySize
EP	System.Web
EP	SysURL
EP	SysVerticalAlignment
EP	SysWeb
EP	Tutorial_Lookup
EP	Web
EP	WSS
	
Compiler	*ManagedInterop
Compiler	Args
Compiler	Array
Compiler	Ascii
Compiler	AssemblyDeployManager
Compiler	CLRInterop
Compiler	CLRObject
Compiler	CodeAccessPermission
Compiler	COM
Compiler	COMDispFunction
Compiler	COMEnum2Object
Compiler	COMEnum2Variant
Compiler	COMError
Compiler	COMVariant
Compiler	ContainerClass
Compiler	Debug
Compiler	DictClass
Compiler	DictEnum
Compiler	DictMethod
Compiler	DLL
Compiler	Error
Compiler	ExecutePermission
Compiler	FileIOPermission
Compiler	Gac
Compiler	Global
Compiler	HeapCheck
Compiler	IntListBaseClass
Compiler	Keywords
Compiler	List
Compiler	MacroBuild
Compiler	Map
Compiler	MapEnumerator
Compiler	MapIterator
Compiler	MemberFunction
Compiler	MethodInfo
Compiler	Microsoft.Dynamics...work.CrossReference
Compiler	Microsoft.Dynamics.AX.Framework.CrossReference
Compiler	MS.Dynamics.AX.Fram..sReference.UnitTest
Compiler	MS.Dynamics.AX.Framework.CrossReference.UnitTest
Compiler	Queue
Compiler	Random
Compiler	ReferenceNode
Compiler	Runtime
Compiler	ScannerClass
Compiler	Set
Compiler	Stack
Compiler	String255
Compiler	StrListBaseClass
Compiler	Struct
Compiler	SysAnyType
Compiler	SysAttribute
Compiler	SysAutoSemaphore
Compiler	SysBreakpoint
Compiler	SysBusinessConnectorRole
Compiler	SysCLR
Compiler	SysCodeCoverage
Compiler	SysComClass
Compiler	SysCompile
Compiler	SysComWrapper
Compiler	SysDebugger
Compiler	SysDict
Compiler	SysGAC
Compiler	SysObsoleteAttribute 
Compiler	SysReference
Compiler	SysScannerClass
Compiler	SysTLI
Compiler	SysTmpGac
Compiler	SysXLNT
Compiler	SysXPP
Compiler	SysXppEvent
Compiler	Text
Compiler	Thread
Compiler	TmpCompile
Compiler	xpp
Compiler	XppEvent
Compiler	XppLanguageService
Compiler	xUnitTestBrowser
Compiler	xRef
	
Control	*_Control
Control	*_COS
Control	ATL
Control	BomCalc
Control	BomCostGroup
Control	BomDefaultProductionFlow
Control	BomProdFlow
Control	CMS
Control	COS
Control	CostAccounting 
Control	CostCalc
Control	CostingVersion
Control	CostSheet
Control	CostTmp
Control	DimensionCopy
Control	IndirectCost
Control	InventAdj
Control	InventAging
Control	InventCheck
Control	InventClosing
Control	InventCost
Control	InventItemCost
Control	InventItemPrice
Control	InventLedger
Control	InventModelType
Control	InventPosting
Control	InventPrice
Control	InventSettlement
Control	InventSiteDimensionLink
Control	InventStdCost
Control	InventValue
Control	LeanConversionCost
Control	LeanCost
Control	LeanProductionFlowCost
Control	LeanProductionFlowVariances
Control	LeanWIPBalanceUpdate
Control	PdsCost
Control	ProdCalcTrans
Control	ProdGroup
Control	ProdIndirectCostInProgress
Control	ProdIndirectTrans
Control	ProdMultiBomCalc
Control	ProdMultiCostEstimation
Control	ProdMultiHistoricalCost
Control	ProdRawMaterialInProgress
Control	ProdResourcesInProgress
Control	ProdStandard
Control	ProdTableJour
Control	ProdUpdBOMCalc
Control	ProdUpdCostEstimation
Control	ProdUpdHistoricalCost
Control	ProdWipLedgerConflict
Control	PurchCalcCost
Control	PurchCalcItem
Control	PurchCost
Control	PurchIndirect
Control	RouteCostCategory
Control	SysExt
	
CPM	BaDataService
CPM	BADataService
CPM	BaDataServiceClass
CPM	BAServiceApp
CPM	BusinessAnalyzer
CPM	BusinessAnalyzerService
CPM	ManagementReporter
CPM	XBRL
	
CRM	Activities
CRM	Activity
CRM	Address
CRM	AxdAddress
CRM	AxdContact
CRM	AxdCustomer
CRM	AxDir
CRM	AxdSysImportBus
CRM	AxdSysImportContact
CRM	AxdSysImportLeads
CRM	AxLogistics
CRM	AxRelatedEntity
CRM	Case
CRM	CompanyDir
CRM	Contact
CRM	CRM
CRM	CustBasedata
CRM	CustCustomer
CRM	CustDeliveryInfo
CRM	CustDir
CRM	CustEP
CRM	CustInvoicedItems
CRM	CustList
CRM	Customer
CRM	CustOpenCase
CRM	CustOpenQuotations
CRM	CustOpenSales
CRM	CustPhoneList
CRM	CustRelatedInfo
CRM	CustReturnOrders
CRM	CustSalesQuotation
CRM	CustTable
CRM	default_sales
CRM	DEL_upgrade
CRM	Dir
CRM	EPAddLevel
CRM	EPBR
CRM	EPCreateInvoice
CRM	EPCust
CRM	EPCustContact
CRM	EPDedicatedSales
CRM	EPEditLevel
CRM	EPMarketing
CRM	EPSalesAndMarketing
CRM	EPSalesQuotationNewBusRel
CRM	EPSalesQuotationsRelInfoBusRel
CRM	EPSuperSales
CRM	EPVendContact
CRM	GlobalAddress
CRM	Logistics
CRM	MoveToStage 
CRM	MyAddressBook
CRM	MyParty
CRM	Outlook
CRM	Person
CRM	PrintMgmtCustTable
CRM	PrintMgmtNode_CustTable
CRM	QuotationList
CRM	SalesAnalysis
CRM	SalesAndMarketing 
CRM	SalesVsTarget
CRM	SMM
CRM	SysCountryRegionCode
